ensembl_id	X11344_TCX	X11316_TCX	X11431_TCX	X11341_TCX	X11289_TCX	X11327_TCX	X11334_TCX	X11480_TCX	X11471_TCX
1	ENSG00000006659	0	0	0	0	0	0	0	0	0
2	ENSG00000167964	1014	964	1322	1219	1480	787	955	1779	2181
3	ENSG00000169814	430	326	388	636	169	185	213	188	111
4	ENSG00000196369	263	131	353	298	24	59	106	93	77
5	ENSG00000234465	93	127	174	154	167	161	111	122	179
6	ENSG00000235499	1	7	2	10	1	3	3	1	1
7	ENSG00000263275	0	0	0	0	0	0	0	0	0
8	ENSG00000268062	0	0	0	0	2	1	1	0	0
9	ENSG00000278362	0	0	0	0	0	0	0	0	0
10	ENSG00000279665	2	0	0	3	1	0	2	3	1
11	ENSG00000196689	255	248	372	521	661	467	322	356	397
12	ENSG00000229117	2330	1131	2285	2145	1235	2266	2536	2329	1192
13	ENSG00000262304	321	335	514	523	499	426	369	342	355
14	ENSG00000273716	0	0	0	0	0	0	0	0	0
15	ENSG00000274700	0	0	0	0	0	0	0	0	0
16	ENSG00000279483	17	15	18	33	47	60	38	34	51
